name	origin	meaning	usage	legally	cons	pros	notablePeople	count	links
Aba	hebrajskie (m)	{ojciec}	żeńskie i męskie	męskie				M:14, K:5
Abi	hebrajskie (k) - zdr. od Abigail	radość ojca	częściej żeńskie	żeńskie	może zostać uznane za zdrobnienie	unisex końcówka		M:2, K:9
Abia	arabskie (k), farerskie (m)	wielki (ar.)	Skandynawia (m), kr. arabskie (k)	unisex			Abia Brown (m)	M&K:0	https://www.nordicnames.de/wiki/Abia https://en.wikipedia.org/wiki/Abia_Brown
Abir	arabskie (k), hebrajskie (m), bengalskie (m)	zapach (ar.)	Indie(m), kr. arabskie (k)	unisex			Abir Chatterjee (m), Abir Al-Sahlani (k)	M:4, K:17	https://en.wikipedia.org/wiki/Abir_Al-Sahlani https://en.wikipedia.org/wiki/Abir_Chatterjee
Abe	hebrajskie (m), zdr. od Abraham		raczej męskie	męskie	może zostać uznane za zdrobnienie	nijaka końcówka		M:2, K:0	https://en.wikipedia.org/wiki/Abe_(given_name)
Adi	hebrajskie, sanskryt	klejnot (hebr.)	unisex	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Adi Ashkenazi (k), Adi Rocha (m)	M:92. K: 257	https://en.wikipedia.org/wiki/Adi_(name)
Adiel	hebrajskie (m)	ozdoba Boga	raczej męskie	męskie		końcówka Arielkowa		M:5, K:0	https://en.wikipedia.org/wiki/Adiel
Adriel	hebrajskie (m)		raczej męskie	męskie		końcówka Arielkowa		M:9, K:2
Aeron	celtyckie	wojna, królowa jasności	unisex	unisex			Aeron Clement (m)	M:2, K:0	https://pl.wikipedia.org/wiki/Aeron_(imi%C4%99) http://www.imiona.info/Aeron.html https://en.wikipedia.org/wiki/Aeron_Clement https://en.wikipedia.org/wiki/River_Aeron
Agam	hebrajskie, hindi	jezioro (hebr.)	raczej męskie	unisex			Agam Darshi (k)	M:5, K:18	https://www.babycenter.in/babyname/25050895/agam
Agi	starogermańskie, greckie - zdr. od Agata, Agnes		Chorwacja (m), Skandynawia (unisex), Węgry (k)	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Agi Donath (k)	M&K:0	https://www.behindthename.com/name/agi https://www.nordicnames.de/wiki/Agi_m https://www.nordicnames.de/wiki/Agi_f https://en.wikipedia.org/wiki/AGI
Alde	wersja imienia Alda, germańskie		Skandynawia(k)	żeńskie		nijaka końcówka		M&K:0	https://www.nordicnames.de/wiki/Alde
Ale 			Skandynawia, języki romańskie (m)	męskie	może zostać uznane za zdrobnienie	nijaka końcówka		M:2, K:0	https://en.wikipedia.org/wiki/Ale_(disambiguation)
Aleks/Alex	greckie 	obrończe ludu	unisex	żeńskie	może zostać uznane za zdrobnienie, uznawane w PL za męskie		Alex Wagner (k)	Aleks: M:8245, K:4 Alex: M:8984, K:53	https://en.wikipedia.org/wiki/Alex_Wagner https://en.wikipedia.org/wiki/Alex#People_whose_first_name_is_Alex https://www.famousfix.com/list/celebrities-with-first-name-alex
Aleksandre	greckie	obrończe ludu	Francja, Portugalia, Gruzja (m)	męskie		nijaka końcówka		M:170, K:0
Alexis	greckie	obrończe ludu	Kraje anglojęz. (uni), Grecja(m)	unisex		unisex końcówka	Alexis Panselinos (m), Alexis Jordan (k)	M:192, K:95 	https://pl.wiktionary.org/wiki/Alexis  https://en.wikipedia.org/wiki/Alexis_Panselinos  https://en.wikipedia.org/wiki/Alexis_Jordan
Ali	arabskie, ang. zdrobnienie licznych imion	wysokie	Kraje anglojęz. (uni), kr. arabskie(m)	unisex	może zostać uznane za zdrobnienie, kojarzone męsko	unisex końcówka	Ali Landry (k)	M: 1723, K: 57 (gł. im. drugie)	https://en.wikipedia.org/wiki/Ali_(name)#Given_name https://en.wikipedia.org/wiki/Ali_Landry
Alika	arabskie, hawajskie, germańskie		raczej żeskie	unisex			Alika DeRego (m)	M: 14, K: 17	https://thesundevils.com/sports/baseball/roster/alika-williams/8712 https://en.wikipedia.org/wiki/Alika_DeRego
Aliki	arabskie, hawajskie, germańskie		raczej żeńskie	unisex		unisex końcówka		M: 2, K: 23
Alix	starofrancuskie lub greckie		unisex, częściej żeńskie	unisex		unisex końcówka	Alix Popham (m)	M:2, K:27	https://en.wikipedia.org/wiki/Alix_(given_name)
Alo	rdzennie amerykańskie	przewodnicze duchowe	męskie	męskie		nijaka końcówka		M&K:0	https://www.names.org/n/alo/about https://themeaningofthename.com/alo/
Alte	jidysz		żeńskie i męskie	żeńskie		nijaka końcówka		M&K:0	https://www.nordicnames.de/wiki/Alte https://www.kveller.com/jewish-baby-name/alte/
Alva	germańskie, hebrajskie	elf (ger.), jego wysokość (hebr.)	unisex - Skandynawia (k), kr. anglojęz. (m)	unisex			Alva Mydral (k), Alva Duer (m)	M:2, K:15	https://en.wikipedia.org/wiki/Alva_(given_name)
Alvard	Armenia	róża	Armenia (k)	żeńskie			Alvard Petrossyan (k)	M:0, K:33	https://en.wikipedia.org/wiki/Alvard_Petrossyan
Alvi 	farerskie	elf, siła (far.)	Skandynawia(uni), kraje arabskie i Azja Pd-Wsch(m)	unisex		unisex końcówka		M:14, K:0	https://www.nordicnames.de/wiki/Alvi_m https://www.nordicnames.de/wiki/Alvi_f
Amare	różne	po łacinie znaczy kochać	unisex	unisex		nijaka końcówka	Amare Stoudemire (m)	M:3:, K:0	https://nameberry.com/babyname/Amare https://pl.wikipedia.org/wiki/Amar%E2%80%99e_Stoudemire https://www.babynames.com/name/amare https://family.disney.com/baby-names/unisex-names/meaning-of-amare/ https://www.babynamespedia.com/meaning/Amare/f
Amari	sanskryt, afrykańskie		raczej męskie	męskie		unisex końcówka	Amari Morgan-Smith (m)	M&K:0	https://www.pampers.com/en-us/pregnancy/baby-names/find-your-baby-name/boys-names/amari https://en.wikipedia.org/wiki/Amari_Morgan-Smith https://nameberry.com/babyname/Amari/girl
Amel	arabskie	nadzieja	unisex, kr. arabskie (k)	unisex			Amel Senan (k), Amel Tuka (m)	M:11, K:62	https://en.wikipedia.org/wiki/Amel_(name)
Ami	hebrajskie, indyjskie, japońskie	nektar (ind), warte zaufania (hebr)	unisex, Japonia (k)	unisex		unisex końcówka	Ami Miron (m), Ami Trivedi (k)	M:14, K: 12	https://en.wikipedia.org/wiki/Ami_(given_name)
Amparo	Hiszpania	schronienie	żeńskie	żeńskie		nijaka końcówka		M:0, K:6 	https://pl.wikipedia.org/wiki/Amparo https://en.wikipedia.org/wiki/Amparo_(name)
Anael	hebrajskie 	w żydowskiej tradycji imię archanioła	unisex	żeńskie	kojarzy się z wiadomo czym		Anael Lardy (k)	M:0, K:4	https://www.kveller.com/jewish-baby-name/anael/ https://playback.fm/people/first-name/ana%C3%ABl https://www.behindthename.com/name/anael/submitted
Andi	greckie, zdr. od Andrew/Andrea	odważne, męskie	unisex	unisex		unisex końcówka	Andi Osho (k), Andy Allo (k)	M:14, K:0; Andy: M:128, K:0	https://en.wikipedia.org/wiki/Andy_(given_name)
Andrea	greckie, Włochy	odważne, męskie	Włochy, Albania (m), gdzie indziej raczej (k)	unisex			Andrea Bocelli (m)	M:648, K: 1942	https://en.wikipedia.org/wiki/Andrea
Angel	greckie	{anielę}, {posłańcze}	kraje anglojęz. (uni), kr. hiszpańskojęz. (m)	unisex			Angel Faith (k), Angel Rubio (m)	M:379, K:66	https://en.wikipedia.org/wiki/Angel_(given_name)
Anri	różne		Japonia (unisex), Gruzja, Azerbejdżan (m)	unisex		unisex końcówka	Anri Sala (m), Anri du Toit (ps.Yolandi Visser) (k)	M:9, K:2	https://en.wikipedia.org/wiki/Anri_(given_name) https://en.wikipedia.org/wiki/Yolandi_Visser
Ante	łacińskie Antoniusz, greckie Andreas		Chorwacja, Szwecja, Litwa (m)	męskie		nijaka końcówka		M:16, K:0	https://en.wikipedia.org/wiki/Ante_(name)
Apo	finśkie zdrobnienia różnych imion		Finlandia (unisex)	unisex		nijaka końcówka	Apo Avedissian (m)	M&K:0	https://www.babynamesdirect.com/boy/apo https://www.babynamesdirect.com/girl/apo https://www.nordicnames.de/wiki/Apo_m https://www.nordicnames.de/wiki/Apo_f https://en.wikipedia.org/wiki/Apo_Avedissian
Archie/Arczi	germańskie, zdr. od Archibld		raczej męskie	unisex		unisex końcówka	Archie Panjabi (k)	M: 32, K: 0	https://en.wikipedia.org/wiki/Archie_Panjabi https://en.wikipedia.org/wiki/Archie
Arda	tureckie, armeńskie, staroangielskie	berło (tur)	Turcja (m), Armenia (k)	unisex			Arda Turan (m)	M:55, K:0	https://en.wikipedia.org/wiki/Arda_(name)
Areli	hebrajskie 	lew Boga	raczej męskie	męskie		unisex końcówka		M&K:0	https://www.babynames.com/name/areli https://www.behindthename.com/name/areli
Ari	germańskie, greckie, hebrajskie	orzeł (ger), szlachetne (gr), lew(hebr).	m lub k w zależności od języka	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Ari Meyers (k)	M:104, K:4	https://en.wikipedia.org/wiki/Ari_(name)
Aria/Arja/Arya	perskie, hebrajskie	lwica (hebr., szlachetne (per), powietrze (wł), złoto (alb)	Indie(m/k), Izrael(k), perski (m)	unisex			Aria Shahghasemi (m)	Aria: M:15, K:120, Arja: M:2, K:9, Arya: M:10, K:39	https://en.wikipedia.org/wiki/Aria_(name) https://www.filmweb.pl/person/Aria+Shahghasemi-2592084
Ariel	hebrajskie	lew Boga	unisex, dawniej męskie	unisex		końcówka Arielkowa	Ariel Winter (k)	M:6151, F: 76	https://en.wikipedia.org/wiki/Ariel_(name) https://en.wikipedia.org/wiki/Ariel_Winter
Aris	greckie	bóg Ares/szlachetne	raczej męskie, Skandynawia (unisex)	unisex		nowogrecka męska końcówka zbieżna ze starogrecką żenską (por. Artemis, Eris)		M:47:, F:2	https://www.nordicnames.de/wiki/Aris_f https://www.nordicnames.de/wiki/Aris_m https://en.wikipedia.org/wiki/Aris
Artemis	greckie	bogini Artemida	raczej żeńskie, rzadziej męskie	unisex		końcowka unisex	Artemis Fowl (m, fikcyjna)	M:3, K:33	https://en.wiktionary.org/wiki/Artemis https://pl.wikipedia.org/wiki/Artemis_Fowl
Arti	sanksryt		żeńskie	żeńskie	może zostać uznane za zdrobnienie	nijaka końcówka		M:2, K:9	https://en.wikipedia.org/wiki/Arti_(given_name)
Arto	celtyckie		Finlandia (m)	męskie	może zostać uznane za zdrobnienie	nijaka końcówka	Arto Salomaa	M:5, K:0	https://www.nordicnames.de/wiki/Arto https://www.behindthename.com/name/arto https://en.wikipedia.org/wiki/Arto_Salomaa
Asa	hebrajskie, japońskie, afrykańskie		unisex	unisex			Asa Briggs (m)	M:5, K:2	https://en.wikipedia.org/wiki/Asa_(name)
Asel 	arabskie	słodkie	żeńskie	żeńskie				M:0, K:13	https://www.behindthename.com/name/asel
Assol/Asol	rosyjskie		żeńskie	żeńskie			Asol Sliwiec (k)	M&K:0	https://pl.wikipedia.org/wiki/Assol_(imi%C4%99) https://pl.wikipedia.org/wiki/Asol_Sliwiec
Ata	arabskie, tureckie	prezent (ar), przodek (tur)	męskie	męskie			Ata Demirer (m)	M:27, K:4	https://en.wikipedia.org/wiki/Ata_(name)
Audre	staroangielskie		żeńskie	żeńskie		nijaka końcówka	Audre, postać z Korony Królów (k), Audre Lorde (k)	M&K:0	https://en.wikipedia.org/wiki/Audre_Lorde
Auge	greckie (mitologia)	promień słońca	żeńskie, jeden z wariantów męskiego Auger (fr)	żeńskie		nijaka końcówka		M&K:0	https://www.familyeducation.com/baby-names/name-meaning/auge
Aulani	hawajskie	posłańcze króla	raczej żeńskie	żeńskie	nazywa się tak kurort Disneya na Hawajach	unisex końcówka		M&K:0	https://www.mynamestats.com/First-Names/A/AU/AULANI/index.html
Auri	greckie, od Aura lub lacińskie, od Aurora	bryza (gr), świt (łac)	raczej żeńskie	unisex		unisex końcówka	Auri Dias Faustino (m)	M:0, K:3	https://www.nordicnames.de/wiki/Auri https://en.wikipedia.org/wiki/Auri_Dias_Faustino
Aurum	łacina	zloto	unisex	unisex		końcówka nijaka		M&K:0	https://www.babynames.com/name/aurum https://themeaningofthename.com/aurum/
Awo/Avo	afrykańskie, grenlandzkie	urodzone we wtorek (afr)	unisex	unisex		końcówka nijaka		M&K:0	https://www.name-doctor.com/name-awo-meaning-of-awo-42887.html  https://www.nordicnames.de/wiki/Avo https://en.wikipedia.org/wiki/Avo_(name)
Aza	kurdyjskie (m), starocerkiewnosłowiańskie (k), arabskie (ż)	odważne, hero (kurd)	męskie, ale np. w krajach afrykańskich i Rosji żeńskie	unisex			Aza, władca Manny (m, VIII/VII w p.n.e.)	M:0, K:32	https://en.wikipedia.org/wiki/Aza https://charlies-names.com/en/aza/ https://en.wikipedia.org/wiki/Mannaeans
Basanta	hindi	wiosna	męskie	męskie			Basanta Regmi (m)	M: 8, K:0	http://www.namepedia.org/en/firstname/Basanta/ http://www.babynology.com/assamese-mcelebritybasanta.html
Bel	romańskie	piękne	żeńskie	żeńskie	może zostać uznane za zdrobnienie		Annabel "Bel" Linquist (k)	M&K:0	https://en.wikipedia.org/wiki/Bel_(name) http://www.namepedia.org/en/firstname/Bel/
Bela	węgierskie, romańskie	serce (węg), czyste (cz)	Węgry (m), Czechy (k)	unisex	może zostać uznane za zdrobnienie		liczni władcy węgier (m), Běla Hlaváčková (k)	M:18, K:50	https://en.wikipedia.org/wiki/B%C4%9Bla https://en.wikipedia.org/wiki/B%C3%A9la_(given_name)
Beni	romańskie	dobre	Japonia (k), Albania (k), Europa (m)	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Beni Takemata (k)	M:14, K:0	https://en.wikipedia.org/wiki/Beni http://namepedia.org/en/firstname/Beni/ https://en.wikipedia.org/wiki/Beni_Takemata
Berni	germańskie, greckie	niedźwiedź (ger), przynoszące zwycięstwo (gr)	Skandynawia (m), kraje anglosaskie (uni)	unisex	może zostać uznane za zdrobnienie	unisex końcówka		M&K:0	https://nameberry.com/babyname/Berni https://www.nordicnames.de/wiki/Berni http://www.thinkbabynames.com/meaning/0/Berni http://namepedia.org/en/firstname/Berni/
Berno	germańskie	niedźwiedź	męskie	męskie		nijaka końcówka		M:5, K:0	https://www.nordicnames.de/wiki/Berno https://en.wikipedia.org/wiki/Berno
Bessi	farerskie, romańskie (jako wariant Beatrice)		Skandynawia (m), kraje anglosaskie (k)	unisex	może zostać uznane za zdrobnienie	unisex końcówka		M&K:0	https://www.nordicnames.de/wiki/Bessi_m https://www.nordicnames.de/wiki/Bessi_f https://nameberry.com/babyname/Bessi
Biel	hebrajskie (od Gabriel)		raczej męskie	męskie	może zostać uznane za zdrobnienie	końcówka Arielkowa	Biel Medina (m)	M:2, K:0	https://en.wikipedia.org/wiki/Biel_(name)
Billi/Billie/Billy/Billy	staroangielskie		unisex	żeńskie	może zostać uznane za zdrobnienie	unisex końcówka		Billy: M:25, K:3 Billie: M&K:0, Billi: M:2, K:0, Bili: M:0, K:2	https://charlies-names.com/en/billi/ http://www.thinkbabynames.com/meaning/0/Billi https://nameberry.com/babyname/Billi https://en.wikipedia.org/wiki/Billie
Bora	greckie, koreańskie	wiatr Boreasz	Turcja (m), Korea (ż)	unisex				M:39, K:0	https://en.wikipedia.org/wiki/Bora_(Korean_name)
Bori	od Barbara lub Borys		unisex	unisex	może zostać uznane za zdrobnienie	unisex końcówka		M:2, K:0	http://www.namepedia.org/en/firstname/Bori_(296491)/ http://www.namepedia.org/en/firstname/Bori_(105874)/ https://www.babycenter.com/baby-names-bori-438485.htm
Boro	od Barbara lub Borys		Węgry (k), Chorwacja (m)	unisex	może zostać uznane za zdrobnienie	nijaka końcówka		M:2,K:0	http://www.namepedia.org/en/firstname/Bor%C3%B3/, https://en.wikipedia.org/wiki/Bora_(Turkish_name)
Bri	celtyckie	szlachetne	raczej żeńskie	żeńskie	może zostać uznane za zdrobnienie	unisex końcówka	Brie Bella (k)	M&K:0	http://www.thinkbabynames.com/meaning/0/Bri http://www.thinkbabynames.com/meaning/1/Bri
Bronwyn	celtyckie	jasna pierś	raczej żeńskie, ale -wyn to męska walijska końcówka	żeńskie				M:0, K:6 	https://en.wikipedia.org/wiki/Bronwynn
Bruni	staronordyckie		Dania (m)	męskie		unisex końcówka		M&K:0	https://www.nordicnames.de/wiki/Bruni
Bryn/Brynn	celtyckie	wzgórze	raczej żeńskie, ale unisex	unisex			Bryn Renner (m)	M:5, K:0	https://nameberry.com/babyname/Bryn/girl https://nameberry.com/babyname/Bryn/boy
Cameron	celtyckie		unisex	unisex			Cameron Diaz (k), Cameron Boyce (m)	M:86, K:9	https://en.wikipedia.org/wiki/Cameron_(given_name)
Carrigan	celtyckie	włócznia	raczej żeńskie	żeńskie	często występuje jako nazwisko			M&K:0	https://www.babynames.com/name/carrigan https://www.names.org/n/carrigan/about
Charlie	angielskie		unisex	unisex	w Polsce kojarzy się głównie męsko 			M:149, K:16	https://en.wikipedia.org/wiki/Charlie_(given_name)
Chris/Kris	greckie		głównie męskie, ale używane także żeńsko	unisex	w Polsce kojarzy się głównie męsko 		Chris Evert (k)	Chris: M:186, K:0, Kris: M:84, K:0	https://en.wikipedia.org/wiki/Chris_Evert
Dali			Islandia (m), Hiszpania (f), najczęściej żeńskie	unisex		unisex końcówka	Dali Jazi (m), Dali(k, bogini gruzińska)	M:2, K:16	https://en.wikipedia.org/wiki/Dali_Jazi https://pl.wikipedia.org/wiki/Dali_(mitologia)
Dani	hebrajskie		unisex	unisex		unisex końcówka		M:45, K:4	https://en.wikipedia.org/wiki/Dani
Darien	perskie		unisex, częściej męskie	unisex			Darien Fenton (k), Darien Ferrer (m)	M:4, K:0	https://en.wikipedia.org/wiki/Darien
Datuna	hebrajskie		gruzińskie zdrobnienie Dawid, męskie	męskie			Datuna Rakviashvili (m)	M:12, K:0	https://en.wikipedia.org/wiki/Datuna
Dejno	greckie		mitologiczne, jedna z Forkid/Grai	żeńskie		nijaka końcowka		M&K:0	https://pl.wikipedia.org/wiki/Forkidy
Del	romańskie		raczej męskie	unisex			Del Harisson (fk	M&K:0	https://en.wikipedia.org/wiki/Del_(disambiguation)
Demi	greckie	od Demeter	raczej żeńskie	żeńskie		unisex końcówka	Demi Orimoloye (m)	M:0, K:28	https://en.wikipedia.org/wiki/Demi https://en.wikipedia.org/wiki/Demi_Orimoloye
Deo	łacińskie, hindu	boskie	raczej męskie	męskie	może zostać uznane za zdrobnienie	nijaka końcówka	Deo Simcox (m), 	M:4, K:0	https://www.familyeducation.com/baby-names/name-meaning/deo http://www.namepedia.org/en/firstname/Deo/ https://www.imdb.com/name/nm2351086/
Diamanto	greckie	diament	raczej żeńskie	unisex		nijaka końcówka		M&K:0	https://www.behindthename.com/name/diamanto https://en.wikipedia.org/wiki/Diamond_(given_name)
Dido	greckie		raczej żeńskie (Dido mitologiczna)	żeńskie		nijaka końcówka	Dido Fontana (m), Dido Miles (k)	M&K:0	https://en.wikipedia.org/wiki/Dido_(disambiguation)
Dima	rosyjskie, arabskie		męskie (ros.), żeńskie (ar.)	unisex		unisex końcówka		M:25, K:18	https://www.babynames.com/name/dima https://www.nordicnames.de/wiki/Dima_f https://www.nordicnames.de/wiki/Dima_m
Dimi	greckie	od Demeter	żeńskie (gr), męskie (ros.)	unisex				M&K:0	https://www.behindthename.com/name/dimi
Dori	greckie	prezent	raczej męskie, ale też jako zdr. od Dorota	unisex	może zostać uznane za zdrobnienie	unisex końcówka	Dori Seda (k), Dori Arad (m)	M:11, K:0	http://www.namepedia.org/en/firstname/Dori/  https://en.wikipedia.org/wiki/Dori
Dorin/Doreen	greckie	prezent	kr. anglojęz. (k), Rumunia (m)	unisex			Dorin Tudoran (m)	Dorin: M:87, K:6 (Doreen 26)	http://www.namepedia.org/en/firstname/Dorin/ https://en.wikipedia.org/wiki/Doreen_(given_name) https://en.wikipedia.org/wiki/Dorin
Dorian	greckie	doryckie	zwykle męskie, coraz częściej unisex	męskie/unisex			Dorian Gray(k), Dorian Electra (nb)	M:8182, K:0	https://en.wikipedia.org/wiki/Dorian_(name) https://en.wikipedia.org/wiki/Dorian_Gray_(actress)
Doro	greckie	prezent	Włochy, Serbia (m), kraje anglojęzyczne (k)	unisex	może zostać uznane za zdrobnienie	nijaka końcówka	Doro (k)	M&K:0	http://www.namepedia.org/en/firstname/%C4%90oro/ https://pl.wikipedia.org/wiki/Doro
Duri	koreańskie		unisex	unisex		unisex końcówka		M&K:0	https://en.wikipedia.org/wiki/Duri_(name)
